(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(-6320,6320)
(8848,-1264)
(8848,8848)
(-8848,-1264)
(-3792,3792)
(-1264,1264)
(-1264,6320)
(-1264,1264)
(8848,-1264)
(8848,-6320)
(-1264,6320)
(-3792,3792)
(-6320,3792)
(1264,1264)
(-6320,-8848)
(-1264,-3792)
(-6320,-1264)
(6320,-6320)
(-8848,-1264)
(8192,0)
(-8848,3792)
(8848,6320)
(1264,6320)
(-8848,-8848)
(8848,-1264)
(-6320,6320)
(6320,3792)
(-8848,-1264)
(-8848,-6320)
(-8848,-6320)
(6320,-1264)
(-6320,3792)
(-8848,-8848)
(1264,-8848)
(1264,-3792)
(6320,3792)
(-8848,-6320)
(-1264,1264)
(-8848,8848)
(-1264,-8848)
(-3792,6320)
(-3792,-3792)
(-6320,-8848)
(1264,-8848)
(-3792,-8848)
(3792,-3792)
(-3792,1264)
(8192,0)
(8848,-8848)
(3792,-1264)
(6320,8848)
(6320,8848)
(6320,1264)
(6320,-1264)
(-1264,-8848)
(-6320,-3792)
(-8848,-8848)
(-3792,-6320)
(-6320,-3792)
(-6320,3792)
(6320,8848)
(-8848,3792)
(8848,1264)
(6320,-3792)
(-6320,-6320)
(1264,-1264)
(-3792,-8848)
(-3792,6320)
(-1264,-1264)
(-8848,6320)
(-1264,-6320)
(-8848,-8848)
(3792,1264)
(-1264,1264)
(1264,-1264)
(-1264,6320)
(6320,3792)
(-8848,-3792)
(-8848,-6320)
(6320,-8848)
(1264,-3792)
(-1264,6320)
(6320,6320)
(8192,0)
(3792,-6320)
(8848,6320)
(-8848,8848)
(-1264,8848)
(8848,3792)
(-1264,-6320)
(-8848,-3792)
(8848,-8848)
(6320,3792)
(-8848,-3792)
(3792,-6320)
(-3792,-8848)
(3792,-3792)
(-6320,-3792)
(-3792,-8848)
(1264,6320)
(1264,6320)
(3792,-8848)
(1264,3792)
(1264,-3792)
(-8848,1264)
(8848,6320)
(-6320,-6320)
(3792,-1264)
(3792,-1264)
(-8848,8848)
(1264,8848)
(-8192,0)
(1264,-3792)
(6320,1264)
(6320,-1264)
(-6320,6320)
(6320,-6320)
(-3792,-3792)
(-6320,-1264)
(-8848,-1264)
(6320,8848)
(0,0)
(0,0)
(0,0)
(-3792,-6320)
(6320,-6320)
(3792,-3792)
(6320,-3792)
(8848,1264)
(1264,8848)
(-3792,-1264)
(1264,8848)
(3792,1264)
(-8192,0)
(1264,8848)
(3792,-6320)
(-8848,1264)
(-1264,3792)
(8848,3792)
(6320,-1264)
(-6320,-3792)
(3792,-6320)
(8848,1264)
(-1264,-6320)
(3792,-3792)
(8848,-6320)
(-1264,6320)
